piece_id,descr
10049,Minifig Shield - Broad with Spiked Bottom and Cutout Corner
41854pb14,"Vehicle, Mudguard 2 x 4 with Flared Wings, Orange Dots and Dark Gray Lines Print"
31208,Duplo Bridge Top 4 x 8
72111c01,Primo Vehicle Boat with Green Paddle Wheel (complete assembly)
88762c01pb07,Duplo Wheel Double Assembly with Metal Axle and Flower Print
spd006,Green Goblin 2 - decorated headgear
u9140p02,~Figure Fabuland Lamb Head  2
x1921,Minifig Accessory Barbed Wire Loop
mx1042pb42,Modulex Tile 2 x 4 with Dark Gray Month 'Apr' Print
9221comm,"Paper, Duplo Mosaic Picture Puzzle Key Card from Set 9221 - Community"
5102c26,"Hose, Pneumatic 4mm D. 26L"
970c36pb02,Hips and Green Legs with Yellow Markings Print
58124s03,Electric Power Functions Connector (unknown type)
4162pb14,Tile 1 x 8 with 'WWW.LEGOUNIVERSE.DE' Print
44674,Mudguard 2 x 4 [Headlights Extension]
45677pb015,Wedge 4 x 4 x 2/3 Triple Curved with '01 POLICE' White on Blue Print (Sticker) - Set 7744
970c00pb244,Hips and Legs with Pockets with Zippers and Lime Paint Splotches Print
3626cpb945,"Minifig Head Beard Gray Bushy Eyebrows, White Pupils, Scar Print - Recessed Stud"
970c11pb11,Hips and Black Legs with Gunbelts and Knee Pads Print
87999,"Minifig, Headgear Hair with Beard and Mouth Hole"
bb342,"Human Tool, Triangle Ruler"
30149,Vehicle Base 6 x 5 x 2 [2 Seats]
51011,Tyre 17.5mm D. x 6mm with Shallow Offset Treads
260.3stk01,Sticker for Set 260-3
6180pb24,"Tile, Modified 4 x 6 with Studs on Edges and Black 'HYDRAULICS' and 'OIL' Print (Sticker) - Set 7632"
x481px1,Roadsign Hanging Cross with Esso Print
u9226,~Train Track 12V Tapered Point Vertical Axle
6309pb089,Duplo Tile 2 x 2 with Capital Ø Print
456stk01,Sticker for Set 456-1 - (004630)
3068bpb109,Tile 2 x 2 with Orange Screen on Turqoise Background Print (Sticker) - Set 8257
46303,Minifig Sports Helmet
3298pb50,Slope 33° 3 x 2 with SW Snowspeeder Front with Vent Print
3626bpx346,Minifig Head with Batman Two-Face Print
973pa4,"Torso Adventurers Jungle Suit, Brown Vest, Black Tie Print"
